circlename,regionname,divisionname,officename,pincode,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Hanamkonda Division,Garimillapalli B.O,506356,JAYASHANKAR BHUPALAPALLY,TELANGANA,39.5698,58.6359
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kundanpalli B.O,506356,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2549,79.89687
Telangana Circle,Hyderabad Region,Karimnagar Division,Nawabpet B.O,505467,KARIMNAGAR,TELANGANA,18.180704,79.169781
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nawabpet B.O,506356,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3434466,79.6554116
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pangidipalli B.O,506356,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.4059149,79.6351512
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sarvai B.O,506165,Mulugu,TELANGANA,18.49165,80.33064
Telangana Circle,Hyderabad Region,Hanamkonda Division,Thimmapur B.O,506345,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3295766,79.9764416
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bhagirathipet B.O,506345,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2777497,79.7914119
Telangana Circle,Hyderabad Region,Hanamkonda Division,Machapur B.O,506344,Mulugu,TELANGANA,18.2115978,80.0623935
Telangana Circle,Hyderabad Region,Hanamkonda Division,Potlapur B.O,506352,Mulugu,TELANGANA,18.11062,79.99191
Telangana Circle,Hyderabad Region,Hanamkonda Division,Balannagudem B.O,506172,Mulugu,TELANGANA,18.19854,80.52428
Telangana Circle,Hyderabad Region,Hanamkonda Division,Jadalpet B.O,506170,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3690203,79.7398632
Telangana Circle,Hyderabad Region,Hanamkonda Division,Relakunta B.O,506350,WARANGAL,TELANGANA,18.0792252,79.8205965
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramachandrapuram B.O,506221,JANGOAN,TELANGANA,17.7954983,78.9449683
Telangana Circle,Hyderabad Region,Hanamkonda Division,Akinepalli B.O,506366,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3614001,79.5950964
Telangana Circle,Hyderabad Region,Hanamkonda Division,Peddakomati Palli B.O,506366,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3396879,79.6000073
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pidicilla B.O,506366,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.3072561,79.6063575
