circlename,regionname,divisionname,officename,pincode,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Malkapuram B.O,509371,MAHABUBNAGAR,TELANGANA,16.7544632,77.8447225
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Pagidial B.O,509371,MAHABUBNAGAR,TELANGANA,16.8707373,77.7466582
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Suraram B.O,509371,MAHABUBNAGAR,TELANGANA,16.813537,77.7455685
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Vinjamur B.O,509371,MAHABUBNAGAR,TELANGANA,16.7683132,77.7069077
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Rampur B.O,509371,MAHABUBNAGAR,TELANGANA,16.769047,77.8421052
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Chandravancha B.O,509339,Narayanpet,TELANGANA,17.0118179,77.6754289
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Vennached B.O,509339,MAHABUBNAGAR,TELANGANA,16.9609661,77.7694021
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Tangadgi B.O,509352,Narayanpet,TELANGANA,16.429419,77.2999227
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Antharam B.O,509335,VIKARABAD,TELANGANA,16.9757222,77.8636982
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Nellikondi B.O,509409,MAHABUBNAGAR,TELANGANA,16.5156343,77.7964731
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Pallamarri B.O,509409,MAHABUBNAGAR,TELANGANA,16.5604781,77.8020624
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Rakonda B.O,509409,Narayanpet,TELANGANA,16.6096134,77.7967319
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Dorepally B.O,509411,Narayanpet,TELANGANA,16.8730023,77.6524975
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Chityala B.O,509208,Narayanpet,TELANGANA,16.4115146,77.5291927
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Dasardoddi B.O,509208,Narayanpet,TELANGANA,16.4723702,77.4564178
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Maganur B.O,509208,Narayanpet,TELANGANA,16.4605015,77.4318815
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Panchalingal B.O,509208,Narayanpet,TELANGANA,16.3764084,77.5430679
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Ujjali B.O,509208,Narayanpet,TELANGANA,16.5704683,77.4422783
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Wadwat B.O,509208,Narayanpet,TELANGANA,16.4459952,77.478278
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Sangambanda B.O,509208,Narayanpet,TELANGANA,16.5276492,77.4611086
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Neredgaon B.O,509208,Narayanpet,TELANGANA,16.5003488,77.4595865
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Theelair B.O,509351,Narayanpet,TELANGANA,16.6158834,77.7516911
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Eligandla B.O,509351,Narayanpet,TELANGANA,16.5912808,77.6729685
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Mangampet B.O,509337,MAHABUBNAGAR,TELANGANA,16.9098736,77.8717078
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Salkarpet B.O,509337,MAHABUBNAGAR,TELANGANA,16.9276603,77.7864436
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Amdipur B.O,509210,Narayanpet,TELANGANA,16.6613566,77.4410769
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Bhairamkonda B.O,509210,Narayanpet,TELANGANA,16.733199,77.4613339
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Lingampaly B.O,509340,MAHABUBNAGAR,TELANGANA,16.839842,78.1519019
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Chowdapur B.O,509340,VIKARABAD,TELANGANA,16.9872052,77.9764492
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Antharam B.O,509336,VIKARABAD,TELANGANA,16.9570413,77.5002672
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Balampet B.O,509336,VIKARABAD,TELANGANA,16.958896,77.5191873
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Devalfaslawar B.O,509336,VIKARABAD,TELANGANA,16.9190066,77.5763416
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Gokhafaslawar B.O,509336,VIKARABAD,TELANGANA,16.9580789,77.5731242
Telangana Circle,Hyderabad Region,Mahabubnagar Division,Tekalkode B.O,509336,VIKARABAD,TELANGANA,17.1019616,77.5179299
